0x3007: 'líng,yuán,xīng',
0x4999: 'sì,shì',
0x499A: 'kuà',
0x499B: 'zhèng',
0x499C: 'wú',
0x499D: 'huō',
0x499E: 'rùn',
0x499F: 'wěn,chuài',
0x49A0: 'dū',
0x49A1: 'huán',
0x49A2: 'kuò',
0x49A3: 'fù',
0x49A4: 'chuài',
0x49A5: 'xián',
0x49A6: 'qín',
0x49A7: 'qié',
0x49A8: 'lán',
0x49AA: 'yà',
0x49AB: 'yīng',
0x49AC: 'què',
0x49AD: 'hāng',
0x49AE: 'chǔn',
0x49AF: 'zhì',
0x49B1: 'wěi,kuā',
0x49B2: 'yán,qiàn,chàn',
0x49B3: 'xiàng',
0x49B4: 'yì',
0x49B5: 'nǐ',
0x49B6: 'zhèng',
0x49B7: 'chuài',
0x49B9: 'shí',
0x49BA: 'dīng',
0x49BB: 'zǐ',
0x49BC: 'jué,pì',
0x49BD: 'xù',
0x49BE: 'yuán',
0x49C1: 'xǔ',
0x49C2: 'dào',
0x49C3: 'tián',
0x49C4: 'gè',
0x49C5: 'yí',
0x49C6: 'hóng',
0x49C7: 'yī,yǐ',
0x49C9: 'lǐ',
0x49CA: 'kū',
0x49CB: 'xiǎn,xiàn',
0x49CC: 'suī',
0x49CD: 'xì',
0x49CE: 'xuàn',
0x49D1: 'dī',
0x49D2: 'lái',
0x49D3: 'zhōu',
0x49D4: 'niàn',
0x49D5: 'chéng',
0x49D6: 'jiàn',
0x49D7: 'bì',
0x49D8: 'zhuàn',
0x49D9: 'líng',
0x49DA: 'hào',
0x49DB: 'bàng,péng',
0x49DC: 'táng',
0x49DD: 'chī,zhì',
0x49DE: 'mà,fù',
0x49DF: 'xiàn',
0x49E0: 'shuàn',
0x49E1: 'yōng',
0x49E2: 'qū,ōu',
0x49E4: 'pú',
0x49E5: 'huì',
0x49E6: 'wéi',
0x49E7: 'yǐ',
0x49E8: 'yè',
0x49EA: 'chè',
0x49EB: 'háo',
0x49EC: 'bīn',
0x49EE: 'xiàn,xiǎn',
0x49EF: 'chán,zhàn',
0x49F0: 'hùn',
0x49F2: 'hàn',
0x49F3: 'cí,zhuī',
0x49F4: 'zhī',
0x49F5: 'qí',
0x49F6: 'kuí',
0x49F7: 'róu',
0x49F9: 'yīng',
0x49FA: 'xióng',
0x49FC: 'hú',
0x49FD: 'cuǐ',
0x49FF: 'què,xī',
0x4A00: 'dí',
0x4A01: 'wù',
0x4A02: 'qiū',
0x4A04: 'yàn',
0x4A05: 'liáo',
0x4A06: 'bí',
0x4A08: 'bīn',
0x4A0A: 'yuān',
0x4A0B: 'nüè',
0x4A0C: 'báo',
0x4A0D: 'yǐng',
0x4A0E: 'hóng',
0x4A0F: 'cí',
0x4A10: 'qià',
0x4A11: 'tí',
0x4A12: 'yù',
0x4A13: 'léi',
0x4A14: 'báo',
0x4A16: 'jì',
0x4A17: 'fú',
0x4A18: 'xiàn',
0x4A19: 'cén',
0x4A1A: 'hū',
0x4A1B: 'sè,xī',
0x4A1C: 'bēng',
0x4A1D: 'qīng',
0x4A1E: 'yǔ,yù',
0x4A1F: 'wā',
0x4A20: 'ǎi',
0x4A21: 'hán',
0x4A22: 'dàn',
0x4A23: 'gé',
0x4A24: 'dí',
0x4A25: 'huò,shuāng',
0x4A26: 'pāng',
0x4A28: 'zhuī',
0x4A29: 'líng',
0x4A2A: 'mái',
0x4A2B: 'mài',
0x4A2C: 'lián',
0x4A2D: 'xiāo',
0x4A2E: 'xuě',
0x4A2F: 'zhèn',
0x4A30: 'pò',
0x4A31: 'fù',
0x4A32: 'nóu,wàn',
0x4A33: 'xì,xī',
0x4A34: 'duì',
0x4A35: 'dàn',
0x4A36: 'yǔn',
0x4A37: 'xiàn',
0x4A38: 'yǐn',
0x4A39: 'shū',
0x4A3A: 'duì',
0x4A3B: 'bèng',
0x4A3C: 'hù',
0x4A3D: 'fěi',
0x4A3E: 'fèi',
0x4A3F: 'zá',
0x4A40: 'bèi',
0x4A41: 'fēi',
0x4A42: 'xiān',
0x4A43: 'shì',
0x4A44: 'miǎn,tiǎn',
0x4A45: 'zhǎn,nǎn',
0x4A46: 'zhǎn',
0x4A47: 'zhān,diān',
0x4A48: 'huì',
0x4A49: 'fǔ',
0x4A4A: 'wǎn,wò',
0x4A4B: 'mǒ',
0x4A4C: 'qiáo',
0x4A4D: 'liǎo',
0x4A4F: 'miè',
0x4A50: 'hū,jí,gé',
0x4A51: 'hóng',
0x4A52: 'yú',
0x4A53: 'qí',
0x4A54: 'duò,shān,pán',
0x4A55: 'áng,yìng',
0x4A57: 'bà',
0x4A58: 'dì',
0x4A59: 'xuàn,xiǎn',
0x4A5A: 'dì,dī',
0x4A5B: 'bì,pèi',
0x4A5C: 'zhòu',
0x4A5D: 'páo',
0x4A5E: 'tié,diē',
0x4A5F: 'yí,tì',
0x4A61: 'jiá,gé',
0x4A62: 'zhì,dá',
0x4A63: 'tú',
0x4A64: 'xié',
0x4A65: 'dàn,chān',
0x4A66: 'tiáo',
0x4A67: 'xiè',
0x4A68: 'chàng,zhāng',
0x4A69: 'yuǎn',
0x4A6A: 'guǎn',
0x4A6B: 'liǎng',
0x4A6C: 'běng,fěng',
0x4A6E: 'lù',
0x4A6F: 'jí,qì',
0x4A70: 'xuàn',
0x4A71: 'shù,yú,shū',
0x4A72: 'dū',
0x4A73: 'sōu',
0x4A74: 'hú',
0x4A75: 'yùn',
0x4A76: 'chǎn',
0x4A77: 'bāng',
0x4A78: 'róng,rǒng',
0x4A79: 'é,kuò',
0x4A7A: 'wēng',
0x4A7B: 'bà',
0x4A7C: 'féng',
0x4A7D: 'yū',
0x4A7E: 'zhè',
0x4A7F: 'fén',
0x4A80: 'guǎn',
0x4A81: 'bǔ',
0x4A82: 'gé',
0x4A83: 'dūn',
0x4A84: 'huáng',
0x4A85: 'dú',
0x4A86: 'tǐ',
0x4A87: 'bó',
0x4A88: 'qiàn',
0x4A89: 'liè',
0x4A8A: 'lóng',
0x4A8B: 'wèi',
0x4A8C: 'zhàn,shān',
0x4A8D: 'lán',
0x4A8E: 'suī',
0x4A8F: 'nà,dā',
0x4A90: 'bì',
0x4A91: 'tuó',
0x4A92: 'zhù',
0x4A93: 'diē',
0x4A94: 'bǔ,fù',
0x4A95: 'jú',
0x4A96: 'pò',
0x4A97: 'xiá',
0x4A98: 'wěi,dī',
0x4A99: 'pò,fú,fù',
0x4A9A: 'dā,tà',
0x4A9B: 'fān,fán',
0x4A9C: 'chān,chàn,yán',
0x4A9D: 'hù',
0x4A9E: 'zá',
0x4AA4: 'fán',
0x4AA5: 'xiè',
0x4AA6: 'hóng',
0x4AA7: 'chí',
0x4AA8: 'báo',
0x4AA9: 'yín',
0x4AAB: 'jīng',
0x4AAC: 'bó',
0x4AAD: 'ruǎn',
0x4AAE: 'chǒu',
0x4AAF: 'yīng',
0x4AB0: 'yī',
0x4AB1: 'gǎi,hái',
0x4AB2: 'kūn',
0x4AB3: 'yǔn',
0x4AB4: 'zhěn,dǎn,dàn',
0x4AB5: 'yǎ',
0x4AB6: 'jū',
0x4AB7: 'hòu,gòu',
0x4AB8: 'mín,mén',
0x4AB9: 'bāi,pī,péi',
0x4ABA: 'gé',
0x4ABB: 'biàn,fàn',
0x4ABC: 'zhuō',
0x4ABD: 'hào',
0x4ABE: 'zhěn',
0x4ABF: 'shěng',
0x4AC0: 'gěn',
0x4AC1: 'bì',
0x4AC2: 'duǒ',
0x4AC3: 'chún,zhèn',
0x4AC4: 'chuà',
0x4AC5: 'sàn',
0x4AC6: 'chéng',
0x4AC7: 'rán',
0x4AC8: 'chěn,zèn,cén',
0x4AC9: 'mào',
0x4ACA: 'péi',
0x4ACB: 'wēi,tuí',
0x4ACC: 'pǐ',
0x4ACD: 'fǔ',
0x4ACE: 'zhuō',
0x4ACF: 'qī',
0x4AD0: 'lín',
0x4AD1: 'yī,qī',
0x4AD2: 'mén',
0x4AD3: 'wú',
0x4AD4: 'qì,qiè,yà,kuí',
0x4AD5: 'dié',
0x4AD6: 'chěn,shèn',
0x4AD7: 'xiá',
0x4AD8: 'hé,jié,kě',
0x4AD9: 'sǎng',
0x4ADA: 'guā',
0x4ADB: 'hóu',
0x4ADC: 'āo',
0x4ADD: 'fǔ',
0x4ADE: 'qiāo,fén',
0x4ADF: 'hùn',
0x4AE0: 'pī',
0x4AE1: 'yán,qiàn,qiān,jiàn',
0x4AE2: 'sī',
0x4AE3: 'xí',
0x4AE4: 'míng',
0x4AE5: 'kuǐ',
0x4AE6: 'gé,kài',
0x4AE8: 'ào',
0x4AE9: 'sǎn',
0x4AEA: 'shuǎng',
0x4AEB: 'lóu',
0x4AEC: 'zhěn,qǐn',
0x4AED: 'huì',
0x4AEE: 'chán',
0x4AF0: 'lìn',
0x4AF1: 'ná',
0x4AF2: 'hàn,kǎn',
0x4AF3: 'dú',
0x4AF4: 'jìn',
0x4AF5: 'mián',
0x4AF6: 'fán',
0x4AF7: 'è',
0x4AF8: 'chāo',
0x4AF9: 'hóng',
0x4AFA: 'hóng',
0x4AFB: 'yù',
0x4AFC: 'xuè',
0x4AFD: 'pāo',
0x4AFE: 'bī,bì',
0x4AFF: 'chāo',
0x4B00: 'yǒu',
0x4B01: 'yí',
0x4B02: 'xuè',
0x4B03: 'sà',
0x4B04: 'xù',
0x4B05: 'lì,liè,xié',
0x4B06: 'lì',
0x4B07: 'yuàn',
0x4B08: 'duì',
0x4B09: 'huò',
0x4B0A: 'shà',
0x4B0B: 'léng',
0x4B0C: 'pōu',
0x4B0D: 'hū',
0x4B0E: 'guó,xù',
0x4B0F: 'bù,fǒu',
0x4B10: 'ruí',
0x4B11: 'wèi,yù',
0x4B12: 'sōu,xiāo',
0x4B13: 'àn',
0x4B14: 'yú',
0x4B15: 'xiāng,shǎng',
0x4B16: 'héng',
0x4B17: 'yáng',
0x4B18: 'xiāo',
0x4B19: 'yáo',
0x4B1B: 'bì',
0x4B1D: 'héng',
0x4B1E: 'táo',
0x4B1F: 'liú,liǔ',
0x4B21: 'zhù',
0x4B23: 'xì,qì,gē',
0x4B24: 'zàn,zhān',
0x4B25: 'yì',
0x4B26: 'dòu,shè',
0x4B27: 'yuán',
0x4B28: 'jiù',
0x4B2A: 'bó',
0x4B2B: 'tí',
0x4B2C: 'yǐng',
0x4B2E: 'yí',
0x4B2F: 'nián,tiǎn',
0x4B30: 'shào',
0x4B31: 'bèn',
0x4B32: 'gōu',
0x4B33: 'bǎn',
0x4B34: 'mò',
0x4B35: 'gāi,ài',
0x4B36: 'èn',
0x4B37: 'shě',
0x4B39: 'zhì',
0x4B3A: 'yàng',
0x4B3B: 'jiàn',
0x4B3C: 'yuàn',
0x4B3D: 'shuì,duì',
0x4B3E: 'tí',
0x4B3F: 'wěi,wèi',
0x4B40: 'xùn',
0x4B41: 'zhì',
0x4B42: 'yì',
0x4B43: 'rěn,niè',
0x4B44: 'shì',
0x4B45: 'hú',
0x4B46: 'nè',
0x4B47: 'yē,yì',
0x4B48: 'jiàn',
0x4B49: 'suǐ',
0x4B4A: 'yǐng',
0x4B4B: 'bǎo',
0x4B4C: 'hú',
0x4B4D: 'hú',
0x4B4E: 'yè',
0x4B50: 'yàng',
0x4B51: 'lián,qiàn,xiàn',
0x4B52: 'xī',
0x4B53: 'èn',
0x4B54: 'duī',
0x4B55: 'zǎn,jiǎn',
0x4B56: 'zhù',
0x4B57: 'yǐng',
0x4B58: 'yǐng',
0x4B59: 'jǐn,jiàn',
0x4B5A: 'chuáng',
0x4B5B: 'dàn',
0x4B5D: 'kuài',
0x4B5E: 'yì',
0x4B5F: 'yè',
0x4B60: 'jiǎn',
0x4B61: 'èn',
0x4B62: 'níng',
0x4B63: 'cí',
0x4B64: 'qiǎn',
0x4B65: 'xuè',
0x4B66: 'bō',
0x4B67: 'mǐ',
0x4B68: 'shuì',
0x4B69: 'mó',
0x4B6A: 'liáng',
0x4B6B: 'qǐ',
0x4B6C: 'qǐ',
0x4B6D: 'shǒu',
0x4B6E: 'fú',
0x4B6F: 'bó',
0x4B70: 'bèng',
0x4B71: 'bié',
0x4B72: 'yǐ',
0x4B73: 'wèi',
0x4B74: 'huán',
0x4B75: 'fán',
0x4B76: 'qí',
0x4B77: 'máo',
0x4B78: 'fù',
0x4B79: 'áng',
0x4B7A: 'ǎng',
0x4B7B: 'fēn,fù',
0x4B7C: 'qí',
0x4B7D: 'qún',
0x4B7E: 'tuó',
0x4B7F: 'yì',
0x4B80: 'bó',
0x4B81: 'pián',
0x4B82: 'bá',
0x4B84: 'xuán',
0x4B87: 'yù',
0x4B88: 'chí',
0x4B89: 'lú',
0x4B8A: 'yí',
0x4B8B: 'lì',
0x4B8D: 'niǎo',
0x4B8E: 'xì',
0x4B8F: 'wú',
0x4B91: 'lèi,luò',
0x4B92: 'pū',
0x4B93: 'zhuō,chào',
0x4B94: 'zuī',
0x4B95: 'zhuó',
0x4B96: 'chāng',
0x4B97: 'àn,yàn',
0x4B98: 'ér',
0x4B99: 'yù',
0x4B9A: 'lèng,líng',
0x4B9B: 'fù',
0x4B9C: 'zhá,yè',
0x4B9D: 'hún',
0x4B9E: 'chǔn',
0x4B9F: 'sōu,sǒu',
0x4BA0: 'bī',
0x4BA1: 'bì,bó',
0x4BA2: 'zhá',
0x4BA4: 'hé',
0x4BA5: 'lì',
0x4BA7: 'hàn,hán',
0x4BA8: 'zǎi',
0x4BA9: 'gú',
0x4BAA: 'chéng',
0x4BAB: 'lóu,lǘ',
0x4BAC: 'mò',
0x4BAD: 'mì',
0x4BAE: 'mài',
0x4BAF: 'ào',
0x4BB0: 'zhé',
0x4BB1: 'zhú',
0x4BB2: 'huáng',
0x4BB3: 'fán',
0x4BB4: 'dèng,tēng',
0x4BB5: 'tóng',
0x4BB7: 'dú',
0x4BB8: 'wò',
0x4BB9: 'wèi,guì',
0x4BBA: 'jì',
0x4BBB: 'chì',
0x4BBC: 'lín',
0x4BBD: 'biāo',
0x4BBE: 'lóng,lòng',
0x4BBF: 'jiǎn',
0x4BC0: 'niè',
0x4BC1: 'luó',
0x4BC2: 'shēn,jí',
0x4BC4: 'guā',
0x4BC5: 'niè',
0x4BC6: 'yì',
0x4BC7: 'kū',
0x4BC8: 'wán',
0x4BC9: 'wā',
0x4BCA: 'qià,kē',
0x4BCB: 'bó,fèi',
0x4BCC: 'kāo',
0x4BCD: 'líng',
0x4BCE: 'gàn',
0x4BCF: 'guā,huá',
0x4BD0: 'hái',
0x4BD1: 'kuāng',
0x4BD2: 'héng',
0x4BD3: 'kuī',
0x4BD4: 'zé',
0x4BD5: 'tīng',
0x4BD6: 'láng',
0x4BD7: 'bì',
0x4BD8: 'huàn',
0x4BD9: 'pò',
0x4BDA: 'yǎo',
0x4BDB: 'wàn',
0x4BDC: 'tì,xī',
0x4BDD: 'suǐ',
0x4BDE: 'kuā',
0x4BDF: 'duì,xiá',
0x4BE0: 'ǎo',
0x4BE1: 'jiàn',
0x4BE2: 'mó,mǒ',
0x4BE3: 'kuì,guì',
0x4BE4: 'kuài',
0x4BE5: 'àn,qì',
0x4BE6: 'mà',
0x4BE7: 'qǐng,qìng',
0x4BE8: 'qiāo,hè',
0x4BEA: 'kǎo,kào',
0x4BEB: 'hào',
0x4BEC: 'duǒ',
0x4BED: 'xiān',
0x4BEE: 'nái',
0x4BEF: 'suō',
0x4BF0: 'jiè',
0x4BF1: 'pī,pēi,fù',
0x4BF2: 'pā,bà',
0x4BF3: 'sōng',
0x4BF4: 'cháng',
0x4BF5: 'niè',
0x4BF6: 'mán,mián',
0x4BF7: 'sōng',
0x4BF8: 'cì',
0x4BF9: 'xiān',
0x4BFA: 'kuò',
0x4BFC: 'dí',
0x4BFD: 'póu,pǒu,bǎo',
0x4BFE: 'tiáo,diāo',
0x4BFF: 'zú,suì,zuì',
0x4C00: 'wǒ',
0x4C01: 'fèi',
0x4C02: 'cài',
0x4C03: 'péng,pèng,fǎng',
0x4C04: 'sāi,shì',
0x4C06: 'róu',
0x4C07: 'qí',
0x4C08: 'cuó',
0x4C09: 'pán,bān',
0x4C0A: 'bó',
0x4C0B: 'mán',
0x4C0C: 'zǒng,cōng',
0x4C0D: 'cì',
0x4C0E: 'kuì',
0x4C0F: 'jì',
0x4C10: 'lán',
0x4C12: 'méng',
0x4C13: 'mián',
0x4C14: 'pán',
0x4C15: 'lú',
0x4C16: 'zuǎn',
0x4C17: 'jiū',
0x4C18: 'liú,jiǎo',
0x4C19: 'yǐ',
0x4C1A: 'wén',
0x4C1B: 'lì,gé',
0x4C1C: 'lì',
0x4C1D: 'zèng',
0x4C1E: 'zhǔ',
0x4C1F: 'hún',
0x4C20: 'shén',
0x4C21: 'chì',
0x4C22: 'xìng',
0x4C23: 'wǎng',
0x4C24: 'dōng',
0x4C25: 'huò,yù',
0x4C26: 'pǐ',
0x4C27: 'hū',
0x4C28: 'mèi',
0x4C29: 'chě,dū',
0x4C2A: 'mèi',
0x4C2B: 'chāo,cháo,zhào',
0x4C2C: 'jú',
0x4C2D: 'nòu',
0x4C2F: 'yì',
0x4C30: 'rú',
0x4C31: 'líng,lóng',
0x4C32: 'yà',
0x4C34: 'qì',
0x4C35: 'zī',
0x4C37: 'bàng',
0x4C38: 'gōng',
0x4C39: 'zé',
0x4C3A: 'jiè',
0x4C3B: 'yú',
0x4C3C: 'qín,yín,shèn',
0x4C3D: 'bèi',
0x4C3E: 'bā,bà',
0x4C3F: 'tuó',
0x4C40: 'yāng',
0x4C41: 'qiáo',
0x4C42: 'yǒu',
0x4C43: 'zhì',
0x4C44: 'jiè',
0x4C45: 'mò',
0x4C46: 'shéng',
0x4C47: 'shàn',
0x4C48: 'qí',
0x4C49: 'shàn',
0x4C4A: 'mǐ',
0x4C4B: 'gǒng',
0x4C4C: 'yí',
0x4C4D: 'gèng',
0x4C4E: 'gèng',
0x4C4F: 'tǒu',
0x4C50: 'fū',
0x4C51: 'xué',
0x4C52: 'yè',
0x4C53: 'tíng,tǐng',
0x4C54: 'tiáo,chóu',
0x4C55: 'móu,méi',
0x4C56: 'liú',
0x4C57: 'cān',
0x4C58: 'lí',
0x4C59: 'shū',
0x4C5A: 'lù',
0x4C5B: 'huò,xù,yì',
0x4C5C: 'cuò',
0x4C5D: 'pái,bēi',
0x4C5E: 'liú',
0x4C5F: 'jù,jū',
0x4C60: 'zhàn',
0x4C61: 'jú',
0x4C62: 'zhēng',
0x4C63: 'zú',
0x4C64: 'xiàn',
0x4C65: 'zhì,jì',
0x4C68: 'là',
0x4C6B: 'là',
0x4C6C: 'xū',
0x4C6D: 'gèng',
0x4C6E: 'é',
0x4C6F: 'mú',
0x4C70: 'zhòng',
0x4C71: 'tí,dì',
0x4C72: 'yuán',
0x4C73: 'zhān',
0x4C74: 'gèng',
0x4C75: 'wēng',
0x4C76: 'láng',
0x4C77: 'yú',
0x4C78: 'sōu,qiū',
0x4C79: 'zhǎ',
0x4C7A: 'hái',
0x4C7B: 'huá',
0x4C7C: 'zhǎn',
0x4C7D: 'chāng',
0x4C7E: 'lóu',
0x4C7F: 'chàn',
0x4C80: 'zhì',
0x4C81: 'wèi',
0x4C82: 'xuán',
0x4C83: 'zǎo,suǒ,cháo',
0x4C84: 'mín',
0x4C85: 'guī',
0x4C86: 'sū',
0x4C89: 'sī',
0x4C8A: 'duò,wěi,tuò',
0x4C8B: 'cén',
0x4C8C: 'kuǎn',
0x4C8D: 'téng',
0x4C8E: 'něi',
0x4C8F: 'láo',
0x4C90: 'lǔ',
0x4C91: 'yí',
0x4C92: 'xiè',
0x4C93: 'yǎn,yán',
0x4C94: 'qíng',
0x4C95: 'pū',
0x4C96: 'chóu',
0x4C97: 'xián',
0x4C98: 'guǎn',
0x4C99: 'jié',
0x4C9A: 'lài',
0x4C9B: 'méng',
0x4C9C: 'yè',
0x4C9E: 'lì',
0x4C9F: 'yìn',
0x4CA0: 'chūn',
0x4CA1: 'qiū',
0x4CA2: 'téng',
0x4CA3: 'yú',
0x4CA6: 'dài',
0x4CA7: 'dù',
0x4CA8: 'hóng',
0x4CAA: 'xì',
0x4CAC: 'qí',
0x4CAE: 'yuán',
0x4CAF: 'jí',
0x4CB0: 'yùn',
0x4CB1: 'fǎng',
0x4CB2: 'gōng,sōng',
0x4CB3: 'háng',
0x4CB4: 'zhèn',
0x4CB5: 'què',
0x4CB8: 'jiè',
0x4CB9: 'pí',
0x4CBA: 'gàn',
0x4CBB: 'xuán,yuān',
0x4CBC: 'shēng',
0x4CBD: 'shí,diǎo',
0x4CBE: 'qiǎo',
0x4CBF: 'cí',
0x4CC0: 'dié,yì',
0x4CC1: 'bó',
0x4CC2: 'diāo,chāo,tiáo,xiāo',
0x4CC3: 'wǎn',
0x4CC4: 'cí',
0x4CC5: 'zhǐ,zhì',
0x4CC6: 'bái',
0x4CC7: 'wǔ',
0x4CC8: 'bǎo',
0x4CC9: 'dōng,dàn',
0x4CCA: 'bá',
0x4CCB: 'tóng,tōng,xiāo',
0x4CCD: 'gōng',
0x4CCE: 'jiù',
0x4CCF: 'guì,jué',
0x4CD0: 'cì',
0x4CD1: 'yǒu',
0x4CD2: 'yuán',
0x4CD3: 'lǎo',
0x4CD4: 'jú,jiù',
0x4CD5: 'fú',
0x4CD6: 'niè',
0x4CD7: 'é',
0x4CD8: 'é',
0x4CD9: 'xǐng',
0x4CDA: 'kàn,hé',
0x4CDB: 'yàn',
0x4CDC: 'tú',
0x4CDD: 'pǒu,bù',
0x4CDE: 'běng',
0x4CDF: 'míng',
0x4CE0: 'shuì,zhù',
0x4CE1: 'yàn,zhuī',
0x4CE2: 'qí',
0x4CE3: 'yuán',
0x4CE4: 'biē',
0x4CE6: 'xuān',
0x4CE7: 'hóu',
0x4CE8: 'huáng',
0x4CE9: 'yāo',
0x4CEA: 'juàn',
0x4CEB: 'kuí',
0x4CEC: 'è',
0x4CED: 'jí',
0x4CEE: 'mò',
0x4CEF: 'chóng,chǒng',
0x4CF0: 'bǎo',
0x4CF1: 'wù',
0x4CF2: 'zhèn',
0x4CF3: 'xù',
0x4CF4: 'tà,dá',
0x4CF5: 'chì',
0x4CF6: 'xī,qī,jī',
0x4CF7: 'cóng',
0x4CF8: 'má',
0x4CF9: 'kòu',
0x4CFA: 'yàn',
0x4CFB: 'cán,zhàn',
0x4CFD: 'hè',
0x4CFE: 'dēng',
0x4CFF: 'rán',
0x4D00: 'tóng',
0x4D01: 'yù,yú',
0x4D02: 'xiàng',
0x4D03: 'náo',
0x4D04: 'shùn',
0x4D05: 'fén',
0x4D06: 'pú,pū',
0x4D07: 'líng',
0x4D08: 'ǎo',
0x4D09: 'huán,xuán',
0x4D0A: 'yí',
0x4D0B: 'huán,xuán',
0x4D0C: 'méng',
0x4D0D: 'yīng',
0x4D0E: 'lěi',
0x4D0F: 'yàn',
0x4D10: 'bǎo',
0x4D11: 'dié',
0x4D12: 'líng',
0x4D13: 'shī',
0x4D14: 'jiāo',
0x4D15: 'liè',
0x4D16: 'jīng',
0x4D17: 'jú',
0x4D18: 'tī',
0x4D19: 'pì',
0x4D1A: 'gǎng',
0x4D1B: 'xiāo',
0x4D1C: 'wāi',
0x4D1D: 'chuài',
0x4D1E: 'dí',
0x4D1F: 'huán',
0x4D20: 'yǎo',
0x4D21: 'lì',
0x4D22: 'mí',
0x4D23: 'hū',
0x4D24: 'shēng',
0x4D25: 'jiā',
0x4D26: 'yín',
0x4D27: 'wēi',
0x4D29: 'piáo',
0x4D2A: 'lù',
0x4D2B: 'líng',
0x4D2C: 'yì',
0x4D2D: 'cái',
0x4D2E: 'shàn',
0x4D2F: 'hū',
0x4D30: 'shú,yì',
0x4D31: 'tuō',
0x4D32: 'mò',
0x4D33: 'huá',
0x4D34: 'tiè,nián',
0x4D35: 'bǐng',
0x4D36: 'péng',
0x4D37: 'hún,huàn',
0x4D38: 'fū',
0x4D39: 'guǒ,luǒ,hún',
0x4D3A: 'bù',
0x4D3B: 'lí',
0x4D3C: 'chàn',
0x4D3D: 'pí',
0x4D3E: 'cuó',
0x4D3F: 'méng',
0x4D40: 'suǒ,suò',
0x4D41: 'qiàng',
0x4D42: 'zhí',
0x4D43: 'kuàng,huáng',
0x4D44: 'bí',
0x4D45: 'áo',
0x4D46: 'méng',
0x4D47: 'xiàn',
0x4D48: 'kù',
0x4D49: 'tóu',
0x4D4A: 'tuān',
0x4D4B: 'wěi',
0x4D4C: 'xiān',
0x4D4E: 'tuān',
0x4D4F: 'lǎo',
0x4D50: 'chǎn',
0x4D51: 'nì',
0x4D52: 'nì',
0x4D53: 'lí',
0x4D54: 'dǒng',
0x4D55: 'jù',
0x4D56: 'qiàn,qīn',
0x4D57: 'bó,bí',
0x4D58: 'shài',
0x4D59: 'zhā,zhǎ',
0x4D5A: 'tǎo',
0x4D5B: 'qiàn',
0x4D5C: 'nǒng',
0x4D5D: 'yì,yà',
0x4D5E: 'jìng',
0x4D5F: 'gǎn',
0x4D60: 'dí,zhuó',
0x4D61: 'jiǎn',
0x4D62: 'mèi',
0x4D63: 'dá',
0x4D64: 'jiǎn,xiàn',
0x4D65: 'yù',
0x4D66: 'xiè,wū',
0x4D67: 'zài',
0x4D68: 'máng',
0x4D69: 'lí',
0x4D6A: 'gùn,hùn',
0x4D6B: 'xūn,yù',
0x4D6C: 'tà',
0x4D6D: 'zhè',
0x4D6E: 'yàng',
0x4D6F: 'tuǎn',
0x4D70: 'shāng',
0x4D71: 'xì,xī',
0x4D72: 'qiāo',
0x4D73: 'wèi',
0x4D74: 'yìng,zèng,yùn',
0x4D75: 'chuā,zhuó',
0x4D76: 'qú,gōu',
0x4D77: 'wā',
0x4D79: 'zhī',
0x4D7A: 'tǐng,dǐng,tiǎn',
0x4D7B: 'huì,gǔ',
0x4D7C: 'shāng',
0x4D7D: 'cà',
0x4D7E: 'fú,fǔ',
0x4D7F: 'tiè',
0x4D80: 'tà',
0x4D81: 'tà',
0x4D82: 'zhuó,jué',
0x4D83: 'hán',
0x4D84: 'píng',
0x4D85: 'hé',
0x4D86: 'zhuī',
0x4D87: 'zhòu',
0x4D88: 'bó',
0x4D89: 'liú',
0x4D8A: 'nǜ',
0x4D8B: 'xī',
0x4D8C: 'pào',
0x4D8D: 'dì',
0x4D8E: 'hē',
0x4D8F: 'tì,tǐ',
0x4D90: 'wài,huì',
0x4D91: 'tì',
0x4D92: 'qí',
0x4D93: 'jì',
0x4D94: 'chí',
0x4D95: 'bà,bā',
0x4D96: 'jìn',
0x4D97: 'kè,qiā,qiǎ',
0x4D98: 'lì',
0x4D99: 'jù',
0x4D9A: 'qǔ',
0x4D9B: 'là',
0x4D9C: 'gǔ',
0x4D9D: 'qià',
0x4D9E: 'qí',
0x4D9F: 'xiàn',
0x4DA0: 'jiǎn',
0x4DA1: 'shí,zé',
0x4DA2: 'jiān,xián',
0x4DA3: 'ái,gāi',
0x4DA4: 'huá',
0x4DA5: 'zhā,jǔ,chǔ',
0x4DA6: 'zé',
0x4DA7: 'yǎo',
0x4DA8: 'zhān',
0x4DA9: 'jì',
0x4DAA: 'chà',
0x4DAB: 'yàn,yán',
0x4DAC: 'jiān',
0x4DAE: 'yǎn',
0x4DB0: 'jiāo',
0x4DB1: 'tóng',
0x4DB2: 'nán',
0x4DB3: 'yuè',
0x4DB5: 'chí',
0x4DB8: 'yāo',
0x20000: 'hē',
0x20001: 'qī',
0x20003: 'qiě,jī',
0x20005: 'hài',
0x20009: 'qiū',
0x2000A: 'cāo',
0x2000D: 'shì',
0x20013: 'sī',
0x20014: 'jué',
0x2001B: 'yù',
0x2001D: 'kōng',
0x20022: 'zī',
0x20026: 'xíng',
0x20031: 'mǒu',
0x20037: 'jī',
0x20038: 'yè',
0x20039: 'jūn',
0x2003C: 'qián,xià',
0x2003D: 'lù',
0x20041: 'dòu',
